股票代號,股票名稱,股數,持股權重,收盤價
1303,南亞,15336000,1.55,
1319,東陽,1501000,0.15,
1326,台化,8827000,0.46,
1802,台玻,5996000,0.44,
1815,富喬,2000,0.0,
2002,中鋼,4926000,0.11,
2059,川湖,4000,0.02,
2308,台達電,4309000,7.34,
2327,國巨*,10251000,3.47,
2330,台積電,4265000,9.44,
2345,智邦,3034000,5.22,
2357,華碩,5000,0.0,
2368,金像電,5600000,6.08,
2383,台光電,2427000,7.75,
2404,漢唐,573000,0.63,
2408,南亞科,1305000,0.42,
2439,美律,5000,0.0,
2449,京元電子,5886000,2.05,
2454,聯發科,486000,1.0,
3008,大立光,7000,0.02,
3017,奇鋐,2572000,5.8,
3037,欣興,6505000,4.18,
3045,台灣大,5000,0.0,
3189,景碩,1310000,0.53,
3211,順達,1576000,0.57,
3217,優群,355000,0.07,
3264,欣銓,1789000,0.33,
3324,雙鴻,158000,0.2,
3376,新日興,1425000,0.38,
3533,嘉澤,100000,0.22,
3653,健策,1297000,5.72,
3661,世芯-KY,589000,2.22,
3665,貿聯-KY,2243848,4.62,
3711,日月光投控,4258000,1.72,
4979,華星光,1115000,0.52,
5274,信驊,255000,3.42,
6139,亞翔,1704000,1.17,
6191,精成科,3399000,0.41,
6223,旺矽,1366000,5.79,
6274,台燿,1463000,0.87,
6488,環球晶,1700000,0.91,
6510,精測,590000,2.64,
6515,穎崴,248000,1.94,
6669,緯穎,146000,0.69,
6805,富世達,682000,1.41,
8046,南電,4656000,3.0,
8210,勤誠,1857000,1.94,
8299,群聯,1000,0.0,
8358,金居,1864000,0.58,
8996,高力,315000,0.34,
